Timestamp,Email Address,Please enter your first name:,Please enter your last name:,Which high school are you currently enrolled in?,Which programs are you interested in (Check all that apply)?,How did you find out about SICTC?,What is your preferred name or nickname?,Email
11/6/2021 8:47:57,person1.personLast1evsck12.com,person1,personLast1,Central High School,"Advanced Manufacturing Technology, Computer Networking Technology/CISCO, Computer Science/Software Development, Electrical Technology, Engineering/Architectural Design Technology, Graphic Communications / Digital Media, HVAC-R and Energy Systems, Precision Machine Metalworking Technology",SICTC Alumni,bob1,
11/6/2021 8:48:01,person2.personLast2evsck12.com,person2,personLast2,Boonville High School,"Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology","High school counselor, Friends and family",bob2,
11/6/2021 8:48:26,person3.personLast3evsck12.com,person3,personLast3,Reitz High School,"Building Construction Technology, Radio / TV / Communications","High school counselor, SICTC Information Meetings at High School",bob3,
11/6/2021 8:50:43,person4.personLast4evsck12.com,person4,personLast4,Mr. Vernon High School,"Automotive Service Technology, Computer Networking Technology/CISCO, Computer Science/Software Development, Electrical Technology",High school counselor,bob4,
11/6/2021 8:50:47,person5.personLast5evsck12.com,person5,personLast5,Gibson Southern High School,Computer Science/Software Development,High school counselor,bob5,
11/6/2021 8:51:03,person6.personLast6evsck12.com,person6,personLast6,North High School,Computer Science/Software Development,SICTC Information Meetings at High School,bob6,
11/6/2021 8:53:47,person7.personLast7evsck12.com,person7,personLast7,Boonville High School,"Automotive Collision Repair Technology, Automotive Service Technology, Electrical Technology","High school counselor, SICTC Alumni, Current SICTC Student",bob7,
11/6/2021 8:54:01,person8.personLast8evsck12.com,person8,personLast8,Gibson Southern High School,"Computer Networking Technology/CISCO, Computer Science/Software Development",Friend or Family Member,bob8,
11/6/2021 8:54:10,person9.personLast9evsck12.com,person9,personLast9,Gibson Southern High School,"Automotive Service Technology, HVAC-R and Energy Systems, Welding Technology","High school counselor, SICTC Information Meetings at High School",bob9,
11/6/2021 8:54:41,person10.personLast10evsck12.com,person10,personLast10,Castle High School,Building Construction Technology,High school counselor,bob10,
11/6/2021 8:54:44,person11.personLast11evsck12.com,person11,personLast11,Mr. Vernon High School,"Computer Science/Software Development, Culinary Arts, Graphic Communications / Digital Media","High school counselor, Friend or Family Member",bob11,
11/6/2021 8:55:20,person12.personLast12evsck12.com,person12,personLast12,New Tech Institute,"Culinary Arts, Welding Technology",Friend or Family Member,bob12,
