11/6/2021 8:48:01,person2.personLast2evsck12.com,person2,personLast2,Boonville High School,"Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology","High school counselor, Friends and family",bob2,
11/6/2021 8:57:22,person15.personLast15evsck12.com,person15,personLast15,Reitz High School,"Building Construction Technology, Diesel Service Technology, Electrical Technology",SICTC Information Meetings at High School,bob15,
11/6/2021 9:00:16,person17.personLast17evsck12.com,person17,personLast17,Reitz High School,"Building Construction Technology, Diesel Service Technology, Electrical Technology",SICTC Information Meetings at High School,bob17,
11/6/2021 9:04:22,person28.personLast28evsck12.com,person28,personLast28,Reitz High School,Diesel Service Technology,High school counselor,bob28,
11/6/2021 9:08:58,person32.personLast32evsck12.com,person32,personLast32,Reitz High School,"Building Construction Technology, Diesel Service Technology, Electrical Technology",SICTC Information Meetings at High School,bob32,
11/6/2021 9:22:35,person55.personLast55evsck12.com,person55,personLast55,North Posey High School,"Automotive Service Technology, Diesel Service Technology, Welding Technology","High school counselor, Friend or Family Member",bob55,
11/6/2021 9:32:38,person72.personLast72evsck12.com,person72,personLast72,Mr. Vernon High School,"Building Construction Technology, Diesel Service Technology, Welding Technology",High school counselor,bob72,
11/6/2021 10:18:44,person76.personLast76evsck12.com,person76,personLast76,Gibson Southern High School,"Diesel Service Technology, Precision Machine Metalworking Technology, Welding Technology",High school counselor,bob76,
11/6/2021 9:49:59,person94.personLast94evsck12.com,person94,personLast94,Castle High School,"Diesel Service Technology, Electrical Technology, Precision Machine Metalworking Technology","Friend or Family Member, SICTC Alumni",bob94,
11/6/2021 9:54:02,person100.personLast100evsck12.com,person100,personLast100,Castle High School,"Automotive Service Technology, Diesel Service Technology, Engineering/Architectural Design Technology, Welding Technology",Mailer,bob100,
11/6/2021 9:56:36,person101.personLast101evsck12.com,person101,personLast101,Gibson Southern High School,"Automotive Collision Repair Technology, Automotive Service Technology, Building Construction Technology, Diesel Service Technology, HVAC-R and Energy Systems, Welding Technology",High school counselor,bob101,
11/6/2021 9:56:42,person102.personLast102evsck12.com,person102,personLast102,Central High School,Diesel Service Technology,"High school counselor, Informational posters, Friend or Family Member",bob102,
11/6/2021 9:57:00,person103.personLast103evsck12.com,person103,personLast103,Castle High School,"Advanced Manufacturing Technology, Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology, Engineering/Architectural Design Technology, Welding Technology","High school counselor, Informational posters",bob103,
11/6/2021 9:57:03,person104.personLast104evsck12.com,person104,personLast104,Castle High School,"Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology, Welding Technology",High school counselor,bob104,
11/6/2021 9:58:36,person106.personLast106evsck12.com,person106,personLast106,Gibson Southern High School,Diesel Service Technology,Friend or Family Member,bob106,
11/6/2021 9:59:12,person110.personLast110evsck12.com,person110,personLast110,North High School,"Building Construction Technology, Diesel Service Technology, Electrical Technology, Welding Technology","High school counselor, Informational posters, Friend or Family Member, SICTC Information Meetings at High School",bob110,
11/6/2021 10:18:13,person121.personLast121evsck12.com,person121,personLast121,North Posey High School,"Building Construction Technology, Diesel Service Technology, Welding Technology",SICTC Information Meetings at High School,bob121,
11/6/2021 10:27:52,person129.personLast129evsck12.com,person129,personLast129,Gibson Southern High School,"Automotive Service Technology, Diesel Service Technology, Welding Technology",High school counselor,bob129,
11/6/2021 10:36:54,person132.personLast132evsck12.com,person132,personLast132,Princeton High School,"Advanced Manufacturing Technology, Automotive Collision Repair Technology, Automotive Service Technology, Building Construction Technology, Computer Networking Technology/CISCO, Diesel Service Technology, Electrical Technology, Engineering/Architectural Design Technology, HVAC-R and Energy Systems, Precision Machine Metalworking Technology, Welding Technology","High school counselor, Friend or Family Member, Current SICTC Student",bob132,
11/6/2021 10:41:48,person135.personLast135evsck12.com,person135,personLast135,Gibson Southern High School,"Building Construction Technology, Diesel Service Technology, Precision Machine Metalworking Technology, Welding Technology",High school counselor,bob135,
11/7/2021 13:02:26,person141.personLast141evsck12.com,person141,personLast141,Gibson Southern High School,Diesel Service Technology,Friend or Family Member,bob141,
