11/6/2021 9:09:18,person33.personLast33evsck12.com,person33,personLast33,Bosse High School,"Health Science Education, Veterinary Sciences",High school counselor,bob33,
11/6/2021 9:10:42,person35.personLast35evsck12.com,person35,personLast35,Gibson Southern High School,Veterinary Sciences,SICTC Information Meetings at High School,bob35,
11/6/2021 9:16:32,person46.personLast46evsck12.com,person46,personLast46,Bosse High School,Veterinary Sciences,SICTC Information Meetings at High School,bob46,
11/6/2021 9:18:06,person49.personLast49evsck12.com,person49,personLast49,Harrison High School,Veterinary Sciences,High school counselor,bob49,
11/6/2021 9:24:46,person56.personLast56evsck12.com,person56,personLast56,Tecumseh High School,"Health Science Education, Veterinary Sciences","High school counselor, SICTC Website, Friend or Family Member, Current SICTC Student",bob56,
11/6/2021 9:25:25,person58.personLast58evsck12.com,person58,personLast58,Tecumseh High School,"Health Science Education, Veterinary Sciences","High school counselor, Current SICTC Student",bob58,
11/6/2021 9:35:07,person75.personLast75evsck12.com,person75,personLast75,South Spencer,Veterinary Sciences,Facebook,bob75,
11/6/2021 9:46:30,person90.personLast90evsck12.com,person90,personLast90,Central High School,"Building Construction Technology, Health Science Education, Veterinary Sciences",High school counselor,bob90,
11/6/2021 10:01:37,person115.personLast115evsck12.com,person115,personLast115,New Tech Institute,"Culinary Arts, Graphic Communications / Digital Media, Veterinary Sciences",Friend or Family Member,bob115,
11/6/2021 10:13:04,person120.personLast120evsck12.com,person120,personLast120,Castle High School,"Computer Networking Technology/CISCO, Computer Science/Software Development, Engineering/Architectural Design Technology, Graphic Communications / Digital Media, Public Safety / Criminal Justice, Veterinary Sciences",High school counselor,bob120,
