11/6/2021 8:54:10,person9.personLast9evsck12.com,person9,personLast9,Gibson Southern High School,"Automotive Service Technology, HVAC-R and Energy Systems, Welding Technology","High school counselor, SICTC Information Meetings at High School",bob9,
11/6/2021 8:55:20,person12.personLast12evsck12.com,person12,personLast12,New Tech Institute,"Culinary Arts, Welding Technology",Friend or Family Member,bob12,
11/6/2021 9:00:24,person18.personLast18evsck12.com,person18,personLast18,Boonville High School,"Automotive Collision Repair Technology, Automotive Service Technology, Welding Technology",High school counselor,bob18,
11/6/2021 9:01:07,person22.personLast22evsck12.com,person22,personLast22,Boonville High School,"Building Construction Technology, Welding Technology",SICTC Information Meetings at High School,bob22,
11/6/2021 9:01:42,person24.personLast24evsck12.com,person24,personLast24,Memorial High School,"Culinary Arts, Graphic Communications / Digital Media, HVAC-R and Energy Systems, Welding Technology","High school counselor, Friend or Family Member",bob24,
11/6/2021 9:05:25,person29.personLast29evsck12.com,person29,personLast29,Gibson Southern High School,"Electrical Technology, Welding Technology","High school counselor, Current SICTC Student",bob29,
11/6/2021 9:05:26,person30.personLast30evsck12.com,person30,personLast30,Gibson Southern High School,"Electrical Technology, HVAC-R and Energy Systems, Welding Technology",SICTC Information Meetings at High School,bob30,
11/6/2021 9:10:52,person36.personLast36evsck12.com,person36,personLast36,North Posey High School,Welding Technology,Friend or Family Member,bob36,
11/6/2021 9:13:40,person39.personLast39evsck12.com,person39,personLast39,Reitz High School,"Culinary Arts, Graphic Communications / Digital Media, Welding Technology",High school counselor,bob39,
11/6/2021 9:16:26,person44.personLast44evsck12.com,person44,personLast44,Gibson Southern High School,"Computer Science/Software Development, Graphic Communications / Digital Media, Welding Technology",SICTC Information Meetings at High School,bob44,
11/6/2021 9:22:35,person55.personLast55evsck12.com,person55,personLast55,North Posey High School,"Automotive Service Technology, Diesel Service Technology, Welding Technology","High school counselor, Friend or Family Member",bob55,
11/6/2021 9:28:44,person65.personLast65evsck12.com,person65,personLast65,Mr. Vernon High School,Welding Technology,Friend or Family Member,bob65,
11/6/2021 9:30:07,person67.personLast67evsck12.com,person67,personLast67,Mr. Vernon High School,Welding Technology,Friends,bob67,
11/6/2021 9:30:48,person69.personLast69evsck12.com,person69,personLast69,Boonville High School,"Public Safety / Criminal Justice, Welding Technology",High school counselor,bob69,
11/6/2021 9:32:38,person72.personLast72evsck12.com,person72,personLast72,Mr. Vernon High School,"Building Construction Technology, Diesel Service Technology, Welding Technology",High school counselor,bob72,
11/6/2021 9:34:24,person74.personLast74evsck12.com,person74,personLast74,Bosse High School,Welding Technology,High school counselor,bob74,
11/6/2021 10:18:44,person76.personLast76evsck12.com,person76,personLast76,Gibson Southern High School,"Diesel Service Technology, Precision Machine Metalworking Technology, Welding Technology",High school counselor,bob76,
11/6/2021 9:46:43,person91.personLast91evsck12.com,person91,personLast91,Central High School,"Building Construction Technology, Welding Technology",Friend or Family Member,bob91,
11/6/2021 9:48:24,person92.personLast92evsck12.com,person92,personLast92,Harrison High School,"Advanced Manufacturing Technology, Automotive Service Technology, Engineering/Architectural Design Technology, Welding Technology",High school counselor,bob92,
11/6/2021 9:49:42,person93.personLast93evsck12.com,person93,personLast93,Princeton High School,"HVAC-R and Energy Systems, Welding Technology","High school counselor, Facebook, Instagram, Current SICTC Student",bob93,
11/6/2021 9:50:04,person95.personLast95evsck12.com,person95,personLast95,Reitz High School,"Automotive Collision Repair Technology, Culinary Arts, Electrical Technology, Welding Technology",Friend or Family Member,bob95,
11/6/2021 9:53:20,person99.personLast99evsck12.com,person99,personLast99,Castle High School,"Automotive Service Technology, Welding Technology",Current SICTC Student,bob99,
11/6/2021 9:54:02,person100.personLast100evsck12.com,person100,personLast100,Castle High School,"Automotive Service Technology, Diesel Service Technology, Engineering/Architectural Design Technology, Welding Technology",Mailer,bob100,
11/6/2021 9:56:36,person101.personLast101evsck12.com,person101,personLast101,Gibson Southern High School,"Automotive Collision Repair Technology, Automotive Service Technology, Building Construction Technology, Diesel Service Technology, HVAC-R and Energy Systems, Welding Technology",High school counselor,bob101,
11/6/2021 9:57:00,person103.personLast103evsck12.com,person103,personLast103,Castle High School,"Advanced Manufacturing Technology, Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology, Engineering/Architectural Design Technology, Welding Technology","High school counselor, Informational posters",bob103,
11/6/2021 9:57:03,person104.personLast104evsck12.com,person104,personLast104,Castle High School,"Automotive Collision Repair Technology, Automotive Service Technology, Diesel Service Technology, Welding Technology",High school counselor,bob104,
11/6/2021 9:59:12,person110.personLast110evsck12.com,person110,personLast110,North High School,"Building Construction Technology, Diesel Service Technology, Electrical Technology, Welding Technology","High school counselor, Informational posters, Friend or Family Member, SICTC Information Meetings at High School",bob110,
